Anno,FasciaEta,Tesserati,ChurnTotale,StimaDecessi,StimaInfermi,ChurnReale,ChurnTotale%,ChurnReale%,EtaMedia,GareMediaPrima
2017,<18,76,48,0,0,48,63.2,63.2,17.9,1.1
2017,85-90,2211,258,23,38,197,11.7,8.9,87.9,11.2
2017,70-80,6449,580,28,64,488,9.0,7.6,75.7,9.2
2017,90+,1350,232,24,34,174,17.2,12.9,94.8,11.7
2017,50-60,847,99,1,4,94,11.7,11.1,55.9,9.8
2017,80-85,3120,306,22,41,243,9.8,7.8,83.1,8.8
2017,18-30,327,170,0,0,170,52.0,52.0,22.3,1.6
2017,60-70,2975,288,8,22,258,9.7,8.7,66.3,9.0
2017,30-40,194,43,0,0,43,22.2,22.2,35.4,7.3
2017,40-50,243,37,0,0,37,15.2,15.2,44.9,12.3
2018,<18,225,176,0,0,176,78.2,78.2,17.4,1.3
2018,70-80,7002,788,38,87,663,11.3,9.5,75.8,10.9
2018,18-30,763,536,0,3,533,70.2,69.9,23.1,1.9
2018,85-90,2322,348,31,52,265,15.0,11.4,87.7,15.2
2018,50-60,952,139,2,6,131,14.6,13.8,56.5,7.7
2018,60-70,3295,399,11,30,358,12.1,10.9,66.1,10.3
2018,90+,1332,277,29,41,207,20.8,15.5,94.5,19.4
2018,30-40,261,104,0,1,103,39.8,39.5,34.5,7.0
2018,80-85,3273,356,25,48,283,10.9,8.6,83.1,10.8
2018,40-50,290,66,0,1,65,22.8,22.4,44.8,13.3
2019,80-85,3250,676,49,92,535,20.8,16.5,83.0,14.2
2019,60-70,3418,656,19,50,587,19.2,17.2,66.1,10.5
2019,85-90,2136,507,45,76,386,23.7,18.1,87.7,16.2
2019,70-80,6975,1214,59,135,1020,17.4,14.6,76.0,12.3
2019,<18,572,546,0,1,545,95.5,95.3,16.7,1.6
2019,90+,1143,394,42,59,293,34.5,25.6,94.5,18.9
2019,18-30,536,457,0,2,455,85.3,84.9,22.7,3.8
2019,50-60,1025,260,4,12,244,25.4,23.8,56.6,9.0
2019,30-40,228,97,0,1,96,42.5,42.1,35.2,10.8
2019,40-50,287,88,0,2,86,30.7,30.0,46.2,11.3
2020,40-50,218,58,0,1,57,26.6,26.1,45.3,4.6
2020,80-85,2669,1094,79,149,866,41.0,32.4,83.1,10.3
2020,70-80,6073,1951,95,217,1639,32.1,27.0,76.0,8.9
2020,60-70,2976,735,21,56,658,24.7,22.1,66.5,7.8
2020,85-90,1698,837,75,125,637,49.3,37.5,87.7,10.5
2020,50-60,845,211,3,9,199,25.0,23.6,56.6,6.7
2020,90+,776,481,51,72,358,62.0,46.1,93.9,11.1
2020,18-30,91,27,0,0,27,29.7,29.7,24.6,3.8
2020,30-40,148,38,0,0,38,25.7,25.7,36.2,5.7
2020,<18,32,13,0,0,13,40.6,40.6,16.8,3.8
2021,90+,338,92,9,13,70,27.2,20.7,93.8,9.8
2021,50-60,776,140,2,6,132,18.0,17.0,56.1,10.5
2021,60-70,2630,360,10,27,323,13.7,12.3,66.2,12.6
2021,70-80,4631,589,28,65,496,12.7,10.7,75.6,14.4
2021,80-85,1752,254,18,34,202,14.5,11.5,82.9,11.1
2021,85-90,978,159,14,23,122,16.3,12.5,87.6,11.2
2021,18-30,112,39,0,0,39,34.8,34.8,24.7,4.7
2021,30-40,160,48,0,0,48,30.0,30.0,35.6,7.7
2021,40-50,228,55,0,1,54,24.1,23.7,45.6,6.7
2021,<18,44,23,0,0,23,52.3,52.3,7.6,4.0
2022,90+,334,102,10,15,77,30.5,23.1,93.5,12.9
2022,70-80,5011,620,30,69,521,12.4,10.4,76.0,16.2
2022,50-60,841,141,2,6,133,16.8,15.8,56.5,10.9
2022,80-85,1947,328,23,44,261,16.8,13.4,83.1,21.7
2022,60-70,2828,332,9,25,298,11.7,10.5,66.2,14.8
2022,85-90,1071,234,21,35,178,21.8,16.6,87.6,20.2
2022,30-40,154,33,0,0,33,21.4,21.4,35.5,10.0
2022,18-30,124,37,0,0,37,29.8,29.8,24.2,7.7
2022,40-50,226,35,0,0,35,15.5,15.5,46.1,8.1
2022,<18,45,18,0,0,18,40.0,40.0,16.1,6.8
2023,70-80,5230,646,31,72,543,12.4,10.4,75.8,10.7
2023,80-85,1905,312,22,42,248,16.4,13.0,82.9,11.5
2023,85-90,1010,198,17,29,152,19.6,15.0,87.6,12.2
2023,60-70,3088,357,10,27,320,11.6,10.4,66.2,8.8
2023,18-30,162,73,0,0,73,45.1,45.1,21.5,3.6
2023,<18,48,18,0,0,18,37.5,37.5,16.9,1.8
2023,40-50,267,48,0,1,47,18.0,17.6,46.7,6.7
2023,90+,284,71,7,10,54,25.0,19.0,93.2,13.6
2023,50-60,922,125,2,5,118,13.6,12.8,56.3,7.1
2023,30-40,159,31,0,0,31,19.5,19.5,36.3,6.6
2024,50-60,1050,139,2,6,131,13.2,12.5,56.2,6.2
2024,60-70,3351,351,10,27,314,10.5,9.4,66.2,7.3
2024,70-80,5321,669,32,74,563,12.6,10.6,75.6,10.4
2024,40-50,287,56,0,1,55,19.5,19.2,46.6,6.5
2024,85-90,922,183,16,27,140,19.8,15.2,87.7,14.2
2024,90+,241,71,7,10,54,29.5,22.4,93.4,11.7
2024,80-85,1845,304,22,41,241,16.5,13.1,82.9,10.7
2024,30-40,162,30,0,0,30,18.5,18.5,34.9,6.3
2024,<18,136,64,0,0,64,47.1,47.1,14.6,4.8
2024,18-30,141,46,0,0,46,32.6,32.6,22.9,4.1
