AnnoCarriera,AncoraAttivo,PuntiMedi,GareMedie,NumGiocatori
1,False,2650.222150048717,23.31744072750893,15395
1,True,8066.32182864063,50.671207992733876,9909
2,False,5732.8488055639555,43.59973792964419,9921
2,True,13838.256565656566,75.19553429027113,9405
3,False,6989.591285234032,45.385699508663045,7734
3,True,15520.270355473422,76.07098597673661,9199
4,False,8063.368741058655,14.542918454935622,5592
4,True,16292.723773841963,27.013851044504996,8808
5,False,9051.635222381636,28.3558106169297,2788
5,True,17116.876812492254,52.21997769240303,8069
6,False,9010.561215753425,26.736301369863014,2336
6,True,17429.418511297168,56.367014565890585,8719
7,False,9723.226963512678,19.399505256648112,1617
7,True,18456.081023692444,54.328341528833256,8948
8,False,8720.288018433179,13.03110599078341,868
8,True,20179.950995053492,55.790176003681125,8693
