Regione,Corsisti,Convertiti,TassoConv,GareMedie,DurataMedia,Persi
FRI,42,30,71.4,34.8,1.93,12
UMB,77,54,70.1,19.5,1.55,23
TRT,26,17,65.4,12.7,1.35,9
SAR,287,152,53.0,71.9,2.25,135
TOS,414,219,52.9,48.3,2.21,195
EMI,496,256,51.6,60.4,2.08,240
VEN,299,154,51.5,38.3,2.07,145
LAZ,867,446,51.4,44.8,1.94,421
LIG,208,107,51.4,38.7,1.98,101
PUG,168,86,51.2,34.2,2.01,82
CAB,81,41,50.6,36.6,1.63,40
MAR,229,113,49.3,50.2,2.13,116
LOM,817,396,48.5,36.0,1.88,421
SIC,374,178,47.6,76.9,2.02,196
PIE,359,171,47.6,57.7,2.14,188
CAM,124,59,47.6,45.0,1.96,65
ABR,80,35,43.8,57.2,2.24,45
