AnniDaIngresso,C2017,C2018,C2019,C2020,C2021,C2022,C2023,Media
0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,88.34478174163529,83.49984862246443,74.9438316993464,64.91533062906444,84.8820248820249,85.02542103590721,85.59743138903754,81.02980999992575
2,81.67516064701972,69.19971742860027,52.936070261437905,65.84894726675681,78.41269841269842,78.63838576421989,78.90834034095253,72.23133144595508
3,69.92576999778419,49.354122514885454,54.41176470588235,63.73704204494237,74.01115401115402,73.40324118207818,,64.14051574278777
4,50.32683359184578,50.81239277424564,52.84415849673203,60.98770201532419,69.66108966108966,,,56.926435307847456
5,51.816973188566365,49.59128065395095,50.63316993464052,57.2789904062842,,,,52.33010354586051
6,50.7755373365832,47.562821677263095,47.62050653594771,,,,,48.65295518326466
7,48.74806115665854,44.94399031183772,,,,,,46.84602573424813
8,46.17216928872147,,,,,,,46.17216928872147
